Food Item Name,Label,Description,Amount,Type,Other Info,Dinning Hall
Acai Berry Smoothie,vegetarian,"Refreshing smoothie blend of acai, strawberries, banana, and blueberries.",21 Oz,Breakfast,Freshen's,Food Court/Hokie Grill at Owens Hall
Banana Berry Smoothie,vegetarian,"A delectable smoothie with Greek yogurt, bananas, and strawberries.",21 Oz,Breakfast,Freshen's,Food Court/Hokie Grill at Owens Hall
Bangin' Berry Smoothie,vegan,"A tasty smoothie with pomegranate raspberries, blueberries, and bananas.",21 Oz,Breakfast,Freshen's,Food Court/Hokie Grill at Owens Hall
Caribbean Craze Smoothie,vegan,"A sweet smoothie made with bananas, strawberries, and sorbet.",21 Oz,Breakfast,Freshen's,Food Court/Hokie Grill at Owens Hall
Goin' Green Smoothie,vegan,"A nutritious smoothie with sorbet, kale, pineapple, and mango.",21 Oz,Breakfast,Freshen's,Food Court/Hokie Grill at Owens Hall
Immunity Boost Powder,,Vegan vanilla protein powder available to be added to any smoothie.,1/3 Oz,Breakfast,Freshen's,Food Court/Hokie Grill at Owens Hall
Mango Me Crazy Smoothie,vegan,"A delicious smoothie with sorbet, pineapples, mango, and passionfruit.",21 Oz,Breakfast,Freshen's,Food Court/Hokie Grill at Owens Hall
Maui Mango Smoothie,vegan,"A savory smoothie with sorbet, mangos, bananas, strawberries, and passionfruit.",21 Oz,Breakfast,Freshen's,Food Court/Hokie Grill at Owens Hall
Orange Sunrise Smoothie,vegetarian,"A tart smoothie with oranges, bananas, strawberries, and pineapple.",21 Oz,Breakfast,Freshen's,Food Court/Hokie Grill at Owens Hall
Peach on the Beach Smoothie,vegetarian,"A delicious smoothie with oranges, peaches, strawberries, and mango.",21 Oz,Breakfast,Freshen's,Food Court/Hokie Grill at Owens Hall
Peanut Butter Protein Smoothie,vegetarian,"A rich-tasting smoothie made with Greek yogurt, bananas, peanut butter, cocoa, and protein.",21 Oz,Breakfast,Freshen's,Food Court/Hokie Grill at Owens Hall
Protein Powder,vegan,Vegan vanilla protein powder available to be added to any smoothie.,1/3 Oz,Breakfast,Freshen's,Food Court/Hokie Grill at Owens Hall
Super Fuel Smoothie,vegetarian,A tangy citrus based smoothie with pineapple and strawberries.,21 Oz,Breakfast,Freshen's,Food Court/Hokie Grill at Owens Hall
Tropical Therapy Smoothie,vegan,"A delicious smoothie with sorbet, pineapples, coconut, and kiwi limes.",21 Oz,Breakfast,Freshen's,Food Court/Hokie Grill at Owens Hall
Wild Strawberry Smoothie,vegan,"A delicious smoothie with sorbet, strawberries, and kiwi limes.",21 Oz,Breakfast,Freshen's,Food Court/Hokie Grill at Owens Hall
Black Olives,vegan,Sliced black olives.,1 Oz,Breakfast,Tazon,Food Court/Hokie Grill at Owens Hall
Cantina Salsa,vegan,Spicy homemade salsa,1 Oz,Breakfast,Tazon,Food Court/Hokie Grill at Owens Hall
Fresh Diced Tomatoes,vegan,"Fresh, diced tomatoes.",1/4 Oz,Breakfast,Tazon,Food Court/Hokie Grill at Owens Hall
Guacamole,vegan,"Creamy guacamole with lime juice, cilantro, onions, and jalapeno chilis.",1 Oz,Breakfast,Tazon,Food Court/Hokie Grill at Owens Hall
Homemade Turkey Sausage,,Flavorful turkey sausage.,3 Oz,Breakfast,Tazon,Food Court/Hokie Grill at Owens Hall
Ole Hash Rounds,vegan,Crispy potato coins tossed in salt and Tazon spice.,1 Oz,Breakfast,Tazon,Food Court/Hokie Grill at Owens Hall
Pico De Gallo,vegan,Fresh tomato salsa with fresh ingredients.,1 Oz,Breakfast,Tazon,Food Court/Hokie Grill at Owens Hall
Refried Beans,vegan,Mexican refried beans.,5 Oz,Breakfast,Tazon,Food Court/Hokie Grill at Owens Hall
Romaine Lettuce,vegan,"Fresh, chopped romaine lettuce.",6 Oz,Breakfast,Tazon,Food Court/Hokie Grill at Owens Hall
"Salad Dressing, Chipotle Ranch",vegetarian,A creamy ranch dressing with chipotle flavoring.,2 Tbsp,Breakfast,Tazon,Food Court/Hokie Grill at Owens Hall
Scrambled Eggs,vegetarian,"Fluffy, scrambled eggs.",4 Oz,Breakfast,Tazon,Food Court/Hokie Grill at Owens Hall
Shredded Cheddar Cheese,vegetarian,Mild shredded cheddar cheese.,3 Oz,Breakfast,Tazon,Food Court/Hokie Grill at Owens Hall
Shredded Iceberg Lettuce,vegan,"Fresh, shredded Iceburg lettuce.",1 Oz,Breakfast,Tazon,Food Court/Hokie Grill at Owens Hall
Sliced Bacon,,"Sliced, cooked bacon.",1 Slice,Breakfast,Tazon,Food Court/Hokie Grill at Owens Hall
Sliced Jalapenos,vegan,"Fresh, sliced jalapeno pepper.",1/2 Oz,Breakfast,Tazon,Food Court/Hokie Grill at Owens Hall
Sour Cream,vegetarian,"Fresh, all natural sour cream.",1 Oz,Breakfast,Tazon,Food Court/Hokie Grill at Owens Hall
Vegan Burger Crumbles,vegan,Flavorful vegan meat crumbles.,3 Oz,Breakfast,Tazon,Food Court/Hokie Grill at Owens Hall
Vegan Shredded Cheddar Cheese,vegan,"Creamy, shredded vegan cheese.",1 Oz,Breakfast,Tazon,Food Court/Hokie Grill at Owens Hall
"Bacon, Egg & Cheese on a Scratch Biscuit",halal,"Halal bacon beef, scrambled eggs, and sharp Cheddar cheese on a fluffy buttermilk biscuit.",1 Each,Breakfast,Sweets,Food Court/Hokie Grill at Owens Hall
"Bacon, Egg & Cheese on a Scratch Croissant",halal,"Bacon beef halal, scrambled eggs, and sharp Cheddar cheese on a plain croissant.",1 Each,Breakfast,Sweets,Food Court/Hokie Grill at Owens Hall
Chicken Cordon Bleu Quiche,,,1 Each,Breakfast,Sweets,Food Court/Hokie Grill at Owens Hall
"Halal Chicken Sausage, Egg & Cheese on a Scratch Biscuit",halal,"Chicken sausage halal, scrambled eggs, and sharp Cheddar cheese on a fluffy buttermilk biscuit.",1 Each,Breakfast,Sweets,Food Court/Hokie Grill at Owens Hall
"Halal Chicken Sausage, Egg & Cheese on a Scratch Croissant",halal,"Sausage chicken halal, scrambled eggs, and sharp Cheddar cheese on a plain croissant.",1 Each,Breakfast,Sweets,Food Court/Hokie Grill at Owens Hall
"Plant Based Patty, Egg & Cheese on a Scratch Biscuit",vegetarian,"A plant based sausage patty, scrambled eggs, and sharp Cheddar cheese on a fluffy buttermilk biscuit.",1 Each,Breakfast,Sweets,Food Court/Hokie Grill at Owens Hall
"Plant Based Patty, Egg & Cheese on a Scratch Croissant",halal,"A plant-based sausage patty, scrambled eggs, and sharp Cheddar cheese on a plain croissant.",1 Each,Breakfast,Sweets,Food Court/Hokie Grill at Owens Hall
Quiche Lorraine,,"Cheese, eggs, bacon, ham, and filling baked in a pie shell.",1 Slice,Breakfast,Sweets,Food Court/Hokie Grill at Owens Hall
Southwest Chicken Quiche,,"Eggs, chicken, cheddar cheese, roasted corn, and filling baked into a pie crust",1 Slice,Breakfast,Sweets,Food Court/Hokie Grill at Owens Hall
Spinach Feta Quiche,vegetarian,"Eggs, spinach, mozzarella cheese, feta cheese, and filling baked into a pie crust.",1 Slice,Breakfast,Sweets,Food Court/Hokie Grill at Owens Hall
Farms & Fields Daily Menu,,,,Lunch/Dinner,Farms & Fields Daily Menu,Food Court/Hokie Grill at Owens Hall
Blue Ridge BBQ Cornbread Muffin,vegetarian,"Moist, freshly baked cornbread muffins.",1 Muffin,Lunch/Dinner,Dish,Food Court/Hokie Grill at Owens Hall
Fresh Vegetable of the Day,,Fresh vegetables prepared daily. Please see Grubhub or point of service signage in Owens at Dish to see today's selection!,1 Oz,Lunch/Dinner,Dish,Food Court/Hokie Grill at Owens Hall
Italian Herb Rotisserie Chicken,halal,Cooked Halal chicken breast and chicken legs sprinkled with italian seasoning.,1 Piece,Lunch/Dinner,Dish,Food Court/Hokie Grill at Owens Hall
Macaroni & Cheese,vegetarian,Macaroni noodles mixed into a creamy sauce with American and cheddar cheeses.,4 1/2 Oz,Lunch/Dinner,Dish,Food Court/Hokie Grill at Owens Hall
Pinto Beans w/Ham,,Pinto beans cooked with chicken consomme and mixed with fresh red onion and country ham.,4 Oz,Lunch/Dinner,Dish,Food Court/Hokie Grill at Owens Hall
Ranch Roasted Red Potatoes,vegetarian,Baby red potatoes coated in ranch seasoning and baked in the oven.,4 Oz,Lunch/Dinner,Dish,Food Court/Hokie Grill at Owens Hall
Roasted Brussel Sprouts,vegan,"Brussel sprouts seasoned with olive oil, salt, and pepper roasted to perfection.",4 Oz,Lunch/Dinner,Dish,Food Court/Hokie Grill at Owens Hall
